iter	Passed	Remaining
416	2928	4094
417	2932	4083
418	2936	4071
419	2942	4062
420	2946	4051
421	2949	4039
422	2953	4028
423	2960	4021
424	2964	4011
425	2972	4004
426	2978	3997
427	2990	3996
428	2996	3988
429	3003	3981
430	3011	3975
431	3015	3965
432	3020	3954
433	3028	3950
434	3033	3940
435	3042	3936
436	3047	3925
437	3055	3920
438	3060	3910
439	3064	3900
440	3070	3891
441	3074	3881
442	3083	3876
443	3088	3866
444	3094	3859
445	3098	3848
446	3102	3837
447	3106	3827
448	3110	3817
449	3114	3806
450	3122	3801
451	3126	3790
452	3130	3779
453	3137	3773
454	3141	3762
455	3145	3752
456	3155	3749
457	3159	3738
458	3166	3732
459	3206	3764
460	3216	3760
461	3223	3753
462	3234	3751
463	3243	3746
464	3248	3737
465	3293	3774
466	3302	3768
467	3313	3766
468	3318	3757
469	3326	3751
470	3332	3742
471	3341	3737
472	3345	3727
473	3348	3716
474	3354	3707
475	3357	3696
476	3361	3685
477	3368	3678
478	3371	3667
479	3375	3656
480	3382	3649
481	3386	3639
482	3389	3628
483	3397	3622
484	3400	3611
485	3404	3600
486	3412	3594
487	3417	3585
488	3421	3575
489	3426	3566
490	3431	3557
491	3440	3552
492	3444	3541
493	3447	3531
494	3454	3524
495	3458	3514
496	3461	3503
497	3468	3496
498	3472	3486
499	3476	3476
500	3483	3469
501	3487	3459
502	3490	3448
503	3497	3441
504	3501	3431
505	3505	3422
506	3514	3417
507	3518	3407
508	3527	3402
509	3531	3393
510	3539	3387
511	3544	3378
512	3548	3368
513	3560	3367
514	3572	3364
515	3578	3356
516	3592	3355
517	3602	3352
518	3607	3343
519	3614	3336
520	3618	3326
521	3623	3317
522	3631	3312
523	3636	3303
524	3645	3298
525	3649	3288
526	3652	3278
527	3660	3271
528	3663	3261
529	3667	3252
530	3674	3245
531	3677	3235
532	3681	3225
533	3688	3218
534	3691	3208
535	3695	3199
536	3702	3192
537	3706	3182
538	3711	3174
539	3718	3167
540	3722	3158
541	3726	3149
542	3734	3142
543	3737	3133
544	3741	3123
545	3749	3117
546	3753	3108
547	3757	3099
548	3765	3092
549	3770	3085
550	3784	3084
551	3804	3087
552	3811	3080
553	3816	3072
554	3826	3068
555	3830	3058
556	3838	3052
