iter	RMSE
207	77141.37199
208	76995.67829
209	76938.77304
210	76862.57134
211	76820.7722
212	76761.51646
213	76673.08836
214	76597.97319
215	76507.79885
216	76414.14093
217	76341.0106
218	76302.767
219	76174.6364
220	76050.30855
221	76045.14341
222	75983.42567
223	75929.5196
224	75857.29758
225	75786.03116
226	75665.17708
227	75607.53784
228	75596.26774
229	75593.05776
230	75560.96446
231	75486.15128
232	75383.60361
233	75342.97314
234	75307.93436
235	75234.63043
236	75171.6113
237	75097.20125
238	74974.24214
239	74868.55471
240	74772.45134
241	74696.5638
242	74620.69007
243	74543.57261
244	74540.98626
245	74538.31611
246	74439.40453
247	74369.15016
248	74301.40497
249	74277.26599
250	74133.42353
251	74032.78593
252	73953.4262
253	73901.68882
254	73835.56995
255	73793.12421
256	73708.63856
257	73672.63737
258	73654.6505
259	73595.37931
260	73520.75101
261	73446.32527
262	73386.88381
263	73343.36655
264	73291.19158
265	73259.88097
266	73201.3856
267	73118.48471
268	73060.31125
269	72950.00103
270	72879.20779
271	72839.06635
272	72836.11536
273	72679.36737
274	72604.28788
275	72577.34493
276	72511.57106
277	72463.15539
278	72410.05128
279	72248.28321
280	72181.57554
281	72136.4544
282	72085.23783
283	72031.20125
284	71893.69776
285	71807.93642
286	71737.29475
287	71696.72087
288	71521.39735
289	71438.34355
290	71359.41357
291	71320.13936
292	71223.12703
293	71179.21069
294	71110.9032
295	71055.70651
296	70928.53994
297	70901.13975
298	70866.58382
299	70803.62415
300	70757.49621
301	70667.54455
302	70642.03794
303	70585.60857
304	70518.69425
305	70468.49391
306	70382.15392
307	70338.82979
308	70235.55627
309	70177.80122
310	70119.65151
311	70063.68893
312	70033.9479
313	69919.21225
314	69879.53803
315	69804.50018
316	69783.00941
317	69731.32633
318	69702.45886
319	69632.96225
320	69619.92869
321	69580.90186
322	69571.51402
323	69495.01291
324	69459.57534
325	69389.80608
326	69332.15461
327	69320.99688
328	69261.1519
329	69185.14117
330	69173.98074
331	69111.24982
332	69093.78496
333	69084.05574
334	69073.98859
335	69032.82842
336	69023.39627
337	69004.726
338	68995.92956
339	68987.7305
340	68941.01706
341	68930.65338
342	68867.15656
343	68780.56463
344	68736.84275
345	68638.45398
346	68590.42869
347	68517.75213
348	68481.37669
349	68425.23365
350	68333.75498
351	68265.72
352	68234.80711
353	68149.93713
354	68143.33443
355	68094.1376
356	68041.46411
357	67991.32431
358	67941.84862
359	67899.44953
360	67848.71954
361	67763.85081
362	67705.4633
363	67597.12105
364	67588.49866
365	67527.28118
366	67456.68394
367	67449.93707
368	67397.78052
369	67371.04141
370	67318.12073
371	67272.60856
372	67241.90783
373	67193.02324
374	67136.7482
375	67122.81454
376	67109.66409
377	67062.9837
378	66991.79413
379	66931.25174
380	66868.39013
381	66817.17697
382	66719.77083
383	66678.25246
384	66649.16014
385	66642.7079
386	66597.74374
387	66560.20903
388	66504.44085
389	66449.34522
390	66408.21615
391	66355.48333
392	66280.72145
393	66221.78256
394	66186.92377
395	66138.48023
396	66082.0512
397	66052.01213
398	66039.20063
399	65964.40011
400	65911.43632
401	65891.41864
402	65846.78069
403	65799.04506
404	65752.95982
405	65737.53234
406	65700.98539
407	65626.8011
408	65620.7232
409	65583.97382
410	65578.34718
411	65575.77906
412	65561.01884
413	65518.23946
414	65450.47173
415	65420.45062
416	65358.9025
417	65325.34426
418	65284.51746
419	65233.78305
420	65193.70768
421	65191.3189
422	65143.07716
423	65070.87274
424	65032.22944
425	64995.48886
426	64970.29081
427	64902.41425
428	64869.43485
429	64828.65171
430	64780.33106
431	64744.79253
432	64720.39057
433	64680.74862
434	64645.6639
435	64616.87296
436	64595.11288
437	64590.93328
438	64559.23022
439	64493.81958
440	64461.47537
441	64388.22791
442	64357.48167
443	64347.47489
444	64309.26793
445	64295.72533
446	64262.10243
447	64259.91997
448	64257.8131
449	64227.13501
450	64165.01494
451	64154.71876
452	64091.02881
453	64062.88548
454	64019.98115
455	63966.13118
456	63935.16703
457	63926.3108
458	63892.30879
459	63890.35947
460	63876.58822
461	63819.56444
462	63777.80826
463	63746.25911
464	63723.54313
465	63691.25108
466	63645.96711
467	63600.00409
468	63543.54965
469	63520.61282
470	63485.74847
471	63461.38962
472	63407.48418
473	63376.1708
474	63370.44403
475	63368.53806
476	63350.00075
477	63295.10591
478	63245.49794
479	63204.37022
480	63174.10148
481	63145.88268
482	63116.23005
483	63083.6345
484	63058.90843
485	63011.68622
486	62993.70896
487	62967.66335
488	62955.21942
489	62928.26756
490	62907.75434
491	62859.63682
492	62857.80469
493	62841.80824
494	62821.75914
495	62815.05027
496	62757.28094
497	62742.61257
498	62718.09003
499	62687.99697
500	62677.33991
501	62624.66929
502	62608.05737
503	62606.38073
504	62581.22038
505	62557.78602
506	62535.2098
507	62528.10882
508	62512.46996
509	62444.00157
510	62406.56095
511	62401.20839
512	62363.83444
513	62319.76559
514	62270.3776
515	62248.70985
516	62213.87082
517	62189.52336
518	62137.97602
519	62122.98954
520	62100.83158
521	62074.4555
522	62017.64232
523	62003.28324
524	61960.88262
525	61918.95783
526	61886.41118
527	61859.48735
528	61833.62184
529	61825.24188
530	61823.67159
531	61816.17852
532	61797.56712
533	61740.54595
534	61720.0329
535	61691.16577
536	61666.49397
537	61639.94579
538	61620.62065
539	61619.12891
540	61586.58716
541	61562.54907
542	61561.10496
543	61537.24824
544	61521.29442
545	61465.51254
546	61425.49306
547	61383.67013
548	61382.28544
549	61359.53671
550	61320.81526
551	61284.38526
552	61268.68554
553	61228.28034
554	61202.76523
555	61168.24949
556	61166.96589
557	61128.04901
558	61075.81551
559	61048.69311
560	61029.18985
561	60998.01207
562	60960.2954
563	60933.96332
564	60895.4626
565	60883.91639
566	60827.34262
567	60796.56448
568	60775.00023
569	60773.75494
570	60746.34999
571	60737.6905
572	60730.20436
573	60711.44716
574	60691.65929
575	60689.27942
576	60640.19198
577	60597.33209
578	60573.11782
579	60539.14539
580	60522.16154
581	60494.70411
582	60490.39133
583	60453.70515
584	60424.73688
585	60399.35965
586	60380.87233
587	60359.2433
588	60320.67581
589	60263.10977
590	60255.62293
591	60215.78004
592	60194.20599
593	60168.76819
594	60144.83766
595	60137.81093
596	60132.50834
597	60097.0071
598	60068.9303
599	60053.24988
600	60029.65234
601	59984.80993
602	59960.49234
603	59927.22753
604	59918.58231
605	59904.65341
606	59890.51406
607	59861.4853
608	59841.80928
609	59814.74778
610	59811.01831
611	59766.00141
612	59744.9751
613	59741.06919
614	59722.63609
615	59713.24192
616	59682.05207
617	59669.95927
618	59654.44727
619	59626.64084
620	59607.16809
621	59593.33026
622	59543.9539
623	59510.06212
624	59464.08485
625	59436.51295
626	59407.77027
627	59373.73146
628	59342.5589
629	59320.84593
630	59311.62853
631	59289.54871
632	59277.67805
633	59240.52684
634	59214.07765
635	59188.31239
636	59169.95807
637	59143.41184
638	59115.71496
639	59108.12195
640	59096.81101
641	59066.40682
642	59032.64421
643	59013.62404
644	59004.87443
645	58978.75558
646	58971.14913
647	58921.90058
648	58915.18616
649	58893.3366
650	58870.30468
651	58850.91873
652	58816.19024
653	58789.16109
654	58767.00508
655	58740.73738
656	58725.4094
657	58686.70898
658	58663.47833
659	58630.28008
660	58609.6539
661	58584.43058
662	58568.72048
663	58553.2292
664	58522.02306
665	58494.61067
666	58483.17928
667	58465.4254
668	58442.19725
669	58417.72505
670	58388.73255
671	58369.39452
672	58353.10745
673	58329.97628
674	58295.01372
675	58259.39611
676	58255.08261
677	58252.93527
678	58228.45884
679	58205.33773
680	58188.0043
681	58170.64935
682	58133.78214
683	58102.45417
684	58089.16935
685	58088.30598
686	58064.97591
687	58047.4222
688	58007.7474
689	57982.21131
690	57978.20771
691	57954.50926
692	57943.29359
693	57916.32744
694	57892.91531
695	57867.65508
696	57839.12312
697	57817.18163
698	57793.63559
699	57768.92358
700	57754.40516
701	57736.33849
702	57712.7177
703	57685.48227
704	57678.72548
705	57655.47798
706	57626.04344
707	57600.71662
708	57597.51113
709	57583.06048
710	57574.86251
711	57551.98857
712	57536.72666
713	57533.74298
714	57513.26613
715	57492.33256
716	57478.13499
717	57442.44452
718	57427.03494
719	57387.70259
720	57358.70481
721	57339.74862
722	57304.59192
723	57274.00134
724	57260.43079
725	57224.35694
726	57208.666
727	57179.89614
728	57137.0459
729	57120.80602
730	57099.6265
731	57096.26045
732	57066.0417
733	57061.04915
734	57045.6183
735	57019.56347
736	57006.34066
737	56990.70441
738	56974.99135
739	56949.3299
740	56930.41608
741	56899.05309
742	56887.1722
743	56869.97894
744	56848.81598
745	56808.31966
746	56790.13767
747	56764.05085
748	56753.54367
749	56736.95721
750	56724.77815
751	56695.12558
752	56660.14606
753	56645.7476
754	56643.61571
755	56619.593
756	56606.301
757	56576.37418
758	56570.37087
759	56564.35862
760	56539.43013
761	56520.91193
762	56508.35593
763	56494.81044
764	56467.338
765	56442.2052
766	56433.45716
767	56417.65868
768	56390.58976
769	56362.60514
770	56337.77479
771	56322.8252
772	56304.29321
773	56262.17089
774	56246.10039
775	56234.83431
776	56211.9374
777	56185.90436
778	56168.16314
779	56150.33235
780	56108.55141
781	56088.06482
782	56075.19766
783	56060.3098
784	56050.76739
785	56035.99703
786	56022.60834
787	56006.83181
788	56000.9924
789	55989.10744
790	55973.20074
791	55947.31223
792	55931.28101
793	55921.49598
794	55905.51702
795	55879.55397
796	55870.4109
797	55842.03235
798	55801.09786
799	55791.23746
800	55759.90803
801	55736.00389
802	55711.36344
803	55693.12613
804	55677.12766
805	55651.0438
806	55639.88091
807	55610.03641
808	55593.20314
809	55584.44575
810	55556.55644
811	55519.72401
812	55495.08751
813	55476.75267
814	55453.20545
815	55420.78556
816	55407.47369
817	55393.69405
818	55385.2574
819	55371.93821
820	55365.6488
821	55352.09525
822	55344.16044
823	55333.71121
824	55318.1197
825	55292.64357
826	55278.11579
827	55271.57519
828	55253.15904
829	55227.90208
830	55216.01791
831	55200.6547
832	55183.85214
833	55163.55534
834	55140.29119
835	55122.05549
836	55079.48308
837	55064.20842
838	55037.04786
839	55021.33634
840	55005.14967
841	54982.50638
842	54972.69916
843	54956.59713
844	54932.51878
845	54929.67209
846	54917.56072
847	54902.02035
848	54893.09697
849	54881.14282
850	54877.42171
851	54858.8007
852	54844.16934
853	54824.84262
854	54818.34735
855	54802.12592
856	54796.20641
857	54758.65982
858	54749.47275
859	54728.18669
860	54706.63637
861	54667.37208
862	54658.28707
863	54646.7604
864	54631.33191
865	54621.70784
866	54617.56392
867	54606.94196
868	54576.15158
869	54544.875
870	54525.85886
871	54499.97814
872	54482.61595
873	54473.77492
874	54457.28016
875	54454.28687
876	54450.69682
877	54432.28802
878	54411.51632
879	54411.15638
880	54386.75431
881	54379.381
882	54349.17898
883	54337.02298
884	54327.86421
885	54317.81752
886	54301.7921
887	54282.97247
888	54282.57258
889	54255.67737
890	54244.1935
891	54221.89285
892	54201.41496
893	54184.84774
894	54180.72512
895	54162.78453
896	54156.49355
897	54148.69978
898	54147.2245
899	54131.55278
900	54131.25381
901	54122.65836
902	54107.24413
903	54079.53693
904	54078.93943
905	54056.06416
906	54033.85158
907	54003.61596
908	53982.89968
909	53958.40297
910	53953.25779
911	53929.56648
912	53913.35175
913	53893.66634
914	53882.02899
915	53859.30257
916	53831.51887
917	53823.98182
918	53809.98313
919	53808.17231
920	53804.00937
921	53790.85277
922	53781.87263
923	53762.71437
924	53747.2098
925	53739.29817
926	53703.74977
927	53692.67985
928	53684.1895
929	53659.74417
930	53657.05714
931	53632.10741
932	53630.83879
933	53615.86992
934	53587.44094
935	53561.06994
936	53554.74842
937	53518.71977
938	53500.90583
939	53469.71218
940	53455.02489
941	53446.39563
942	53428.31237
943	53415.82176
944	53413.60966
945	53397.80856
946	53374.8718
947	53351.85107
948	53331.76935
949	53309.76037
950	53291.99683
951	53275.4606
952	53254.61722
953	53254.33492
954	53250.52721
955	53239.64197
956	53229.14042
957	53222.83315
958	53206.44089
959	53194.78093
960	53180.84383
961	53175.07956
962	53164.48204
963	53139.06515
964	53128.50816
965	53112.01845
966	53106.83229
967	53102.46762
968	53101.00946
969	53100.47917
970	53100.22921
971	53084.52244
972	53064.82153
973	53046.33585
974	53029.56063
975	53029.37948
976	53022.58059
977	53003.00343
978	52986.79011
979	52970.02156
980	52951.45915
981	52942.20175
982	52920.72808
983	52914.78085
984	52901.29145
985	52888.00677
986	52875.0037
987	52872.58039
988	52867.9843
989	52862.81528
990	52842.19209
991	52829.17618
992	52822.85119
993	52810.08265
994	52779.95299
995	52768.31447
996	52761.90533
997	52756.40862
998	52744.58359
999	52732.26343
